Player,Year,KPercentage,TotalPitches,FourSeamPercentage,FourSeamAvgMPH,SliderPercentage,SliderAvgMPH,ChangePercentage,ChangeAvgMPH,CurvePercentage,CurveAvgMPH,SinkerPercentage,SinkerAvgMPH,CutterPercentage,CutterAvgMPH,SplitterPercentage,SplitterAvgMPH,KnucklePercentage,KnuckleAvgMPH,FastballPercentage,FastballAvgMPH,BreakingPercentage,BreakingAvgMPH,OffspeedPercentage,OffspeedAvgMPH
"Valdez, Framber",2023,24.80,"2,950.00",0.20,95.10,,,15.80,90.10,24.30,80.20,46.60,95.30,13.00,85.60,,,,,59.90,93.20,24.30,80.20,15.80,90.10
"Cobb, Alex",2023,20.30,"2,506.00",0.30,95.80,5.10,86.20,,,16.20,83.60,39.70,94.50,,,38.70,89.50,,,39.90,94.50,21.30,84.20,38.70,89.50
"Dunning, Dane",2023,19.40,"2,696.00",3.20,90.50,23.40,82.10,15.60,85.70,4.70,77.70,33.10,91.00,20.00,88.90,,,,,56.30,90.20,28.10,81.40,15.60,85.70
"Webb, Logan",2023,22.80,"3,182.00",3.70,92.60,21.20,84.30,41.60,87.50,,,33.60,92.30,,,,,,,37.20,92.30,21.20,84.30,41.60,87.50
"Perez, Martin",2023,15.30,"2,223.00",3.90,91.80,1.00,83.40,26.50,84.10,3.70,79.10,42.90,91.60,22.10,89.20,,,,,68.90,90.90,4.70,80.00,26.50,84.10
"Eflin, Zach",2023,26.50,"2,577.00",6.20,92.90,0.30,84.10,5.10,86.40,26.50,79.10,31.90,92.20,26.10,88.50,,,,,64.20,90.80,30.70,79.20,5.10,86.40
"Garrett, Braxton",2023,23.70,"2,479.00",7.50,90.80,25.90,82.80,8.80,84.10,8.30,77.60,31.70,90.50,17.70,87.50,,,,,56.90,89.60,34.20,81.60,8.80,84.10
"Stroman, Marcus",2023,20.70,"2,203.00",8.20,92.00,5.20,86.10,,,,,46.40,91.40,9.50,89.70,7.70,86.60,,,64.10,91.30,28.10,84.90,7.70,86.60
"Bassitt, Chris",2023,22.50,"3,139.00",9.30,92.40,4.70,80.30,6.60,84.10,12.60,70.70,39.30,91.90,15.30,87.80,3.30,82.60,,,63.90,91.00,26.20,73.20,9.90,83.60
"Montgomery, Jordan",2023,21.40,"2,920.00",10.60,93.40,,,23.00,83.50,22.20,80.50,42.60,93.30,1.60,88.20,,,,,54.90,93.10,22.20,80.50,23.00,83.50
"Civale, Aaron",2023,23.00,"2,008.00",12.30,91.80,5.60,82.40,,,24.50,78.10,18.60,92.40,37.40,87.70,1.70,85.20,,,68.20,89.70,30.10,78.90,1.70,85.20
"Elder, Bryce",2023,17.50,"2,849.00",13.30,90.70,35.30,82.70,13.70,85.00,,,37.70,89.50,,,,,,,51.00,89.80,35.30,82.70,13.70,85.00
